sku,product_name,category,group,subgroup,brand,base_price,initial_ticket_price,costos
ELECOLA001,TechPro Laptops Smart 2025,Electronics,Computing,Laptops,TechPro,284.94,355.14,225.84
ELECOLA002,Electra Laptops Ultra Pro,Electronics,Computing,Laptops,Electra,311.83,352.74,209.99
ELECOLA003,CircuitCity Laptops Air 2024,Electronics,Computing,Laptops,CircuitCity,246.96,301.35,192.61
ELECOLA004,TechPro Laptops Elite 2025,Electronics,Computing,Laptops,TechPro,324.96,420.49,212.23
ELECOLA005,CircuitCity Laptops Pro S,Electronics,Computing,Laptops,CircuitCity,339.88,386.23,231.75
ELECOLA006,Electra Laptops Edge XL,Electronics,Computing,Laptops,Electra,262.0,315.7,182.26
ELECOLA007,Electra Laptops Smart 10,Electronics,Computing,Laptops,Electra,291.82,356.72,202.43
ELECOLA008,TechPro Laptops Max Pro,Electronics,Computing,Laptops,TechPro,256.73,301.22,178.13
ELECOLA009,ByteWare Laptops Smart 2025,Electronics,Computing,Laptops,ByteWare,294.72,335.96,226.28
ELECODE001,Innovate Desktops Ultra XL,Electronics,Computing,Desktops,Innovate,301.7,334.67,222.91
ELECODE002,TechPro Desktops Plus S,Electronics,Computing,Desktops,TechPro,312.89,348.26,211.39
ELECODE003,Innovate Desktops Pro Pro,Electronics,Computing,Desktops,Innovate,353.85,446.45,281.26
ELECODE004,ByteWare Desktops Ultra XL,Electronics,Computing,Desktops,ByteWare,276.54,342.04,183.81
ELECODE005,TechPro Desktops Smart 11,Electronics,Computing,Desktops,TechPro,292.81,351.09,195.69
ELECODE006,CircuitCity Desktops Elite Pro,Electronics,Computing,Desktops,CircuitCity,244.12,281.16,191.97
ELECODE007,TechPro Desktops Elite 3,Electronics,Computing,Desktops,TechPro,319.49,384.67,222.61
ELECODE008,Innovate Desktops Elite 4,Electronics,Computing,Desktops,Innovate,305.6,395.41,207.11
ELECODE009,TechPro Desktops Smart XL,Electronics,Computing,Desktops,TechPro,333.0,425.9,263.38
ELECODE010,Innovate Desktops Plus X,Electronics,Computing,Desktops,Innovate,311.74,348.43,245.74
ELECODE011,Electra Desktops Smart Pro,Electronics,Computing,Desktops,Electra,263.51,307.01,173.07
ELECOTA001,CircuitCity Tablets Max S,Electronics,Computing,Tablets,CircuitCity,286.63,362.8,197.98
ELECOTA002,Electra Tablets Mini XL,Electronics,Computing,Tablets,Electra,282.8,341.78,195.74
ELECOTA003,Innovate Tablets Edge 2025,Electronics,Computing,Tablets,Innovate,256.9,286.42,197.9
ELECOTA004,Innovate Tablets Pro 2025,Electronics,Computing,Tablets,Innovate,358.41,408.5,274.49
ELECOTA005,TechPro Tablets Plus XL,Electronics,Computing,Tablets,TechPro,240.65,298.74,185.86
ELECOTA006,Innovate Tablets Elite S,Electronics,Computing,Tablets,Innovate,327.47,365.07,250.74
ELECOTA007,Innovate Tablets Mini XL,Electronics,Computing,Tablets,Innovate,283.01,360.16,188.87
ELECOTA008,ByteWare Tablets Smart 2025,Electronics,Computing,Tablets,ByteWare,314.79,350.27,220.23
ELECOTA009,Electra Tablets Edge S,Electronics,Computing,Tablets,Electra,277.31,345.5,193.78
ELEMOSM001,CircuitCity Smartphones Air X,Electronics,Mobile,Smartphones,CircuitCity,316.5,378.04,247.84
ELEMOSM002,Electra Smartphones Edge XL,Electronics,Mobile,Smartphones,Electra,254.34,318.48,192.53
ELEMOSM003,TechPro Smartphones Pro 15,Electronics,Mobile,Smartphones,TechPro,307.34,368.43,235.32
ELEMOSM004,TechPro Smartphones Max 5,Electronics,Mobile,Smartphones,TechPro,302.72,334.53,216.18
ELEMOSM005,ByteWare Smartphones Ultra XL,Electronics,Mobile,Smartphones,ByteWare,252.94,310.43,165.6
ELEMOSM006,ByteWare Smartphones Mini S,Electronics,Mobile,Smartphones,ByteWare,277.71,355.89,201.7
ELEMOSM007,Innovate Smartphones Pro Pro,Electronics,Mobile,Smartphones,Innovate,269.91,337.68,192.05
ELEMOSM008,TechPro Smartphones Edge 13,Electronics,Mobile,Smartphones,TechPro,267.45,309.69,176.93
ELEMOSM009,Innovate Smartphones Plus 2024,Electronics,Mobile,Smartphones,Innovate,259.34,327.19,204.74
ELEMOSM010,Innovate Smartphones Max XL,Electronics,Mobile,Smartphones,Innovate,316.0,398.39,246.71
ELEMOSM011,TechPro Smartphones Smart S,Electronics,Mobile,Smartphones,TechPro,262.38,316.92,205.68
ELEMOSM012,Electra Smartphones Ultra 11,Electronics,Mobile,Smartphones,Electra,336.88,392.0,264.25
ELEMOWE001,CircuitCity Wearables Elite 2025,Electronics,Mobile,Wearables,CircuitCity,253.2,300.15,173.24
ELEMOWE002,Innovate Wearables Max S,Electronics,Mobile,Wearables,Innovate,338.15,372.44,263.46
ELEMOWE003,CircuitCity Wearables Plus XL,Electronics,Mobile,Wearables,CircuitCity,301.28,344.79,214.7
ELEMOWE004,TechPro Wearables Plus 4,Electronics,Mobile,Wearables,TechPro,254.38,327.78,178.23
ELEMOWE005,Innovate Wearables Pro 2025,Electronics,Mobile,Wearables,Innovate,278.78,345.85,202.9
ELEMOWE006,CircuitCity Wearables Ultra Pro,Electronics,Mobile,Wearables,CircuitCity,283.63,366.58,225.7
ELEMOWE007,ByteWare Wearables Edge 4,Electronics,Mobile,Wearables,ByteWare,270.2,313.49,195.79
ELEMOWE008,Electra Wearables Mini S,Electronics,Mobile,Wearables,Electra,274.17,335.01,179.73
ELEMOWE009,Electra Wearables Edge 7,Electronics,Mobile,Wearables,Electra,300.31,347.08,197.52
ELEMOWE010,CircuitCity Wearables Elite S,Electronics,Mobile,Wearables,CircuitCity,348.98,393.99,239.38
ELEMOWE011,Electra Wearables Smart XL,Electronics,Mobile,Wearables,Electra,298.72,343.06,238.34
ELEMOWE012,Innovate Wearables Edge XL,Electronics,Mobile,Wearables,Innovate,320.65,367.95,245.05
ELEMOAC001,Electra Accessories Ultra X,Electronics,Mobile,Accessories,Electra,327.38,401.51,230.85
ELEMOAC002,TechPro Accessories Edge 2025,Electronics,Mobile,Accessories,TechPro,316.01,353.32,230.81
ELEMOAC003,CircuitCity Accessories Pro 2024,Electronics,Mobile,Accessories,CircuitCity,340.22,386.94,237.52
ELEMOAC004,TechPro Accessories Ultra 2024,Electronics,Mobile,Accessories,TechPro,244.88,302.56,180.88
ELEMOAC005,Innovate Accessories Edge 2025,Electronics,Mobile,Accessories,Innovate,241.98,277.14,175.88
ELEMOAC006,Innovate Accessories Mini 2025,Electronics,Mobile,Accessories,Innovate,317.41,393.01,214.62
ELEMOAC007,CircuitCity Accessories Mini 2025,Electronics,Mobile,Accessories,CircuitCity,286.4,322.92,226.4
ELEMOAC008,ByteWare Accessories Air 2025,Electronics,Mobile,Accessories,ByteWare,280.92,360.96,187.38
ELEMOAC009,TechPro Accessories Air X,Electronics,Mobile,Accessories,TechPro,345.27,425.37,237.78
ELEAUHE001,ByteWare Headphones Pro Pro,Electronics,Audio,Headphones,ByteWare,338.06,407.67,247.89
ELEAUHE002,TechPro Headphones Air Pro,Electronics,Audio,Headphones,TechPro,269.01,344.19,178.62
ELEAUHE003,Innovate Headphones Ultra 2025,Electronics,Audio,Headphones,Innovate,348.04,406.44,259.28
ELEAUHE004,Electra Headphones Edge XL,Electronics,Audio,Headphones,Electra,281.9,360.66,213.93
ELEAUHE005,Electra Headphones Max X,Electronics,Audio,Headphones,Electra,346.44,425.57,265.71
ELEAUHE006,ByteWare Headphones Ultra XL,Electronics,Audio,Headphones,ByteWare,250.09,320.04,168.62
ELEAUHE007,CircuitCity Headphones Pro Pro,Electronics,Audio,Headphones,CircuitCity,312.76,350.38,203.73
ELEAUHE008,CircuitCity Headphones Ultra 3,Electronics,Audio,Headphones,CircuitCity,319.61,361.85,207.99
ELEAUHE009,Electra Headphones Air XL,Electronics,Audio,Headphones,Electra,305.84,376.3,230.54
ELEAUHE010,ByteWare Headphones Air 2024,Electronics,Audio,Headphones,ByteWare,266.9,306.26,202.0
ELEAUHE011,Electra Headphones Pro XL,Electronics,Audio,Headphones,Electra,279.04,343.2,212.62
ELEAUHE012,Innovate Headphones Mini X,Electronics,Audio,Headphones,Innovate,341.9,414.95,255.96
ELEAUHE013,ByteWare Headphones Edge Pro,Electronics,Audio,Headphones,ByteWare,251.23,289.68,177.16
ELEAUHE014,ByteWare Headphones Elite X,Electronics,Audio,Headphones,ByteWare,269.27,317.37,214.33
ELEAUSP001,TechPro Speakers Edge 2024,Electronics,Audio,Speakers,TechPro,347.03,436.9,258.43
ELEAUSP002,Innovate Speakers Pro S,Electronics,Audio,Speakers,Innovate,300.31,359.92,221.19
ELEAUSP003,ByteWare Speakers Edge 2025,Electronics,Audio,Speakers,ByteWare,263.42,304.55,199.77
ELEAUSP004,TechPro Speakers Ultra 11,Electronics,Audio,Speakers,TechPro,242.91,275.81,181.41
ELEAUSP005,Electra Speakers Ultra Pro,Electronics,Audio,Speakers,Electra,352.84,452.69,279.84
ELEAUSP006,Electra Speakers Ultra S,Electronics,Audio,Speakers,Electra,284.41,365.66,185.53
ELEAUSP007,Electra Speakers Pro S,Electronics,Audio,Speakers,Electra,291.37,376.66,231.64
ELEAUSP008,TechPro Speakers Edge X,Electronics,Audio,Speakers,TechPro,342.35,402.95,237.65
ELEAUSP009,Innovate Speakers Plus 2025,Electronics,Audio,Speakers,Innovate,342.12,387.94,238.65
ELEAUSP010,Innovate Speakers Max Pro,Electronics,Audio,Speakers,Innovate,306.81,380.2,242.51
ELEAUSP011,Innovate Speakers Plus 10,Electronics,Audio,Speakers,Innovate,308.4,377.17,204.95
ELEAUHO001,TechPro Home Audio Ultra 2024,Electronics,Audio,Home Audio,TechPro,358.79,431.87,240.76
ELEAUHO002,CircuitCity Home Audio Edge X,Electronics,Audio,Home Audio,CircuitCity,345.27,427.93,262.79
ELEAUHO003,Electra Home Audio Ultra 2025,Electronics,Audio,Home Audio,Electra,324.29,375.76,228.27
ELEAUHO004,Innovate Home Audio Max XL,Electronics,Audio,Home Audio,Innovate,337.11,429.28,260.09
ELEAUHO005,CircuitCity Home Audio Smart S,Electronics,Audio,Home Audio,CircuitCity,349.58,419.6,254.04
ELEAUHO006,CircuitCity Home Audio Edge X,Electronics,Audio,Home Audio,CircuitCity,335.78,416.5,251.0
ELEAUHO007,TechPro Home Audio Smart 2024,Electronics,Audio,Home Audio,TechPro,335.48,391.71,262.85
ELEAUHO008,TechPro Home Audio Edge 2025,Electronics,Audio,Home Audio,TechPro,285.06,346.54,189.31
ELEAUHO009,Innovate Home Audio Elite Pro,Electronics,Audio,Home Audio,Innovate,244.3,295.25,175.86
CLOMESH001,Fashionista Shirts Collection,Clothing,Men,Shirts,Fashionista,45.72,50.57,24.63
CLOMESH002,DressRight Shirts Collection,Clothing,Men,Shirts,DressRight,40.74,47.75,23.36
CLOMESH003,ThreadWell Slim Shirts,Clothing,Men,Shirts,ThreadWell,42.53,53.34,22.47
CLOMESH004,Attire Shirts Collection,Clothing,Men,Shirts,Attire,44.31,49.49,24.08
CLOMESH005,StyleX Relaxed Shirts,Clothing,Men,Shirts,StyleX,41.03,49.56,21.73
